,,"d1","d2","d3","p","d1p","d2p","d3p","o","d1o","d2o","d3o"
"B3","Fagus sylvatica","Carpinus betulus","Tilia cordata","Tilia platyphyllos","Fraxinus excelsior",,,"Robinia pseudoacacia",,,,
"B5","/","Corylus avellana","Ulmus sp.","Castanea sativa","/",,,,"/",,,
"B3+","Salix sp.",,,,,,,,,,,
"B4+","Malus domestica","Prunus avium","Pyrus communis","Crataegus monogyna","Sorbus aucuparia",,,,,,,
"B5+","Quercus sp.","Quercus robur","Quercus petrea","Quercus rubra","Juglans regia","Juglans nigra",,,,,,
"B3-","Populus sp.","Populus canadensis","Populus tremula",,,,,,,,,
"B4-","Betula sp.",,,,,,,,"Alnus glutinosa",,,
"B5-","Acer sp.","Acer campestre","Acer pseudoplatanus","Acer platanoides","Aesculus hippocastanum",,,,"Platanus sp.",,,
"C3","Pinus sp.","Pinus nigra nigra","Pinus nigra laricio","Pinus sylvestri",,,,,,,,
"C4","Larix decidua",,,"Picea abies",,,"Pseudotsuga menziesii","Picea sitchensis","Larix kaempferi",,,
"C5","Abies","Abies alba","Abies nordmanniana",,,"Abies noble","Abies grandis",,,"Cedrus atlantica","Tsuga heterophylla","Sequoia"
,,,,,,,,,,,,
,,"d1","d2","d3","p","d1p","d2p","d3p","o","d1o","d2o","d3o"
"B3","B","B3d1","B3d2","B3d3","Bp","B3d1p","B3d2p","B3d3p","Bo","B3d1o","B3d2o","B3d3o"
"B5",,"B5d1","B5d2","B5d3",,"B5d1p","B5d2p","B5d3p",,"B5d1o","B5d2o","B5d3o"
"B3+","B3+","B3+d1","B3+d2","B3+d3","B3+p","B3+d1p","B3+d2p","B3+d3p","B3+o","B3+d1o","B3+d2o","B3+d3o"
"B4+","B4+","B4+d1","B4+d2","B4+d3","B4+p","B4+d1p","B4+d2p","B4+d3p","B4+o","B4+d1o","B4+d2o","B4+d3o"
"B5+","B5+","B5+d1","B5+d2","B5+d3","B5+p","B5+d1p","B5+d2p","B5+d3p","B5+o","B5+d1o","B5+d2o","B5+d3o"
"B3-","B3-","B3-d1","B3-d2","B3-d3","B3-p","B3-d1p","B3-d2p","B3-d3p","B3-o","B3-d1o","B3-d2o","B3-d3o"
"B4-","B4-","B4-d1","B4-d2","B4-d3","B4-p","B4-d1p","B4-d2p","B4-d3p","B4-o","B4-d1o","B4-d2o","B4-d3o"
"B5-","B5-","B5-d1","B5-d2","B5-d3","B5-p","B5-d1p","B5-d2p","B5-d3p","B5-o","B5-d1o","B5-d2o","B5-d3o"
"C3","C3","C3d1","C3d2","C3d3","C3p","C3d1p","C3d2p","C3d3p","C3o","C3d1o","C3d2o","C3d3o"
"C4","C4","C4d1","C4d2","C4d3","C4p","C4d1p","C4d2p","C4d3p","C4o","C4d1o","C4d2o","C4d3o"
"C5","C5","C5d1","C5d2","C5d3","C5p","C5d1p","C5d2p","C5d3p","C5o","C5d1o","C5d2o","C5d3o"
